CustomerID,Age,Income,Location,EmploymentStatus,LoanAmount,TenureMonths,InterestRate,LoanType,MissedPayments,DelaysDays,PartialPayments,InteractionAttempts,SentimentScore,ResponseTimeHours,AppUsageFrequency,WebsiteVisits,Complaints,Target,Age_Risk_Group,Payment_Faults,Loan_to_Income_Ratio,Monthly_DTI,Total_Interest_Payable,Customer_Friction_Index,Is_Education_Loan,Borrower_Persona
CUST0001,59,1121522,Suburban,Self-Employed,985115,7,13.6,Business,3,151,2,2,-0.74,17.94,0.52,19,0,1,Low_Risk_Senior,5,0.8783733176879277,1.5057828303221616,78152.45666666668,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0002,49,1784166,Urban,Student,717304,34,14.38,Education,2,47,1,2,-0.77,60.48,0.76,14,2,1,Standard_Adult,3,0.40203882374173705,0.14189605543826012,292253.55973333336,3.54,1,Tough Adult (Strict Talk Route)
CUST0003,35,1053938,Rural,Student,889319,9,9.61,Personal,3,68,1,9,-0.9,27.38,0.33,32,0,1,Standard_Adult,4,0.8438058026183703,1.1250744034911604,64097.666925,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0004,63,1814021,Urban,Student,655730,6,9.2,Business,3,169,4,1,0.13,38.55,0.38,16,0,1,Low_Risk_Senior,7,0.36147872599049297,0.7229574519809859,30163.579999999998,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0005,28,1827781,Suburban,Self-Employed,99847,24,12.87,Personal,2,118,2,0,-0.51,67.85,0.93,19,0,0,High_Risk_Youth,4,0.054627441690224376,0.027313720845112188,25700.617799999996,0.0,0,General Profile
CUST0006,41,1472386,Urban,Salaried,108653,31,10.16,Auto,2,44,2,9,0.47,49.21,0.21,12,2,1,Standard_Adult,4,0.07379382852051025,0.02856535297568139,28517.790733333335,1.06,0,Cooperative Adult (Struggling Help Route)
CUST0007,59,1345222,Suburban,Salaried,791432,30,7.24,Education,4,124,2,0,0.37,46.66,0.1,43,1,1,Low_Risk_Senior,6,0.5883281718556491,0.23533126874225965,143249.192,0.63,1,Cooperative Adult (Struggling Help Route)
CUST0008,39,545266,Suburban,Self-Employed,827949,15,8.9,Personal,1,13,2,3,-0.36,51.38,0.34,23,0,0,Standard_Adult,3,1.5184313711106139,1.214745096888491,92109.32625000001,0.0,0,General Profile
CUST0009,43,1738601,Rural,Salaried,368766,58,10.06,Business,1,156,2,2,-0.65,66.14,0.75,46,1,0,Standard_Adult,3,0.21210502007073503,0.04388379725601415,179306.32140000002,1.65,0,Rude but Reliable (De-escalation & Calm Down Route)
CUST0010,31,680703,Suburban,Self-Employed,339954,20,8.99,Auto,2,133,0,4,-0.8,18.27,0.63,36,0,0,Standard_Adult,2,0.49941604488301067,0.2996496269298064,50936.441000000006,0.0,0,General Profile
CUST0011,31,1174323,Suburban,Salaried,127842,27,9.32,Auto,1,134,1,8,0.47,44.35,0.42,6,0,0,Standard_Adult,2,0.1088644265674776,0.0483841895855456,26808.4674,0.0,0,General Profile
CUST0012,44,543054,Rural,Unemployed,958657,56,9.0,Business,3,36,1,7,-0.1,29.13,0.96,7,0,1,Standard_Adult,4,1.7653069492168367,0.378280060546465,402635.94,0.0,0,Cooperative Adult (Struggling Help Route)
CUST0013,56,1106862,Suburban,Unemployed,322647,53,6.85,Business,3,52,2,8,-0.35,1.35,0.73,22,0,0,Low_Risk_Senior,5,0.2914970429918093,0.06599933048871154,97614.161125,0.0,0,General Profile
